desigcomercial,numbicicletas,numdocas,position,entity_ts,estado
550 - Rua Fernando Curado Ribeiro / Alameda das Li,12,20,"{""coordinates"":[-9.156487,38.760871],""type"":""Point""}",2022-07-27T16:13:47.508Z,active
487 - Rua Professor João Barreira,1,14,"{""coordinates"":[-9.17096,38.76136],""type"":""Point""}",2022-07-27T16:13:43.449Z,active
509 - Centro Comercial Fonte Nova,0,17,"{""coordinates"":[-9.190007,38.748901],""type"":""Point""}",2022-07-27T16:33:37.934Z,repair
488 - Rua Fernando Namora / Rua António Quadros,4,20,"{""coordinates"":[-9.17526,38.76014],""type"":""Point""}",2022-07-27T16:33:43.379Z,active
305 - Avenida da Liberdade / Rua Barata Salgueiro,7,16,"{""coordinates"":[-9.147,38.72228],""type"":""Point""}",2022-07-27T16:33:42.125Z,repair
486 - Rua Hermano Neves / Rua José Escada,1,14,"{""coordinates"":[-9.16985,38.75954],""type"":""Point""}",2022-07-27T16:33:42.154Z,repair
365 - Rua Castilho / Rua Marquês da Fronteira,7,30,"{""coordinates"":[-9.157531,38.729724],""type"":""Point""}",2022-07-27T16:33:49.031Z,active
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,4,12,"{""coordinates"":[-9.09781,38.793],""type"":""Point""}",2022-07-27T16:33:40.965Z,repair
462 - Campo Grande / Biblioteca Nacional,5,29,"{""coordinates"":[-9.15031,38.75027],""type"":""Point""}",2022-07-27T16:33:44.216Z,active
134 - Praça Cidade do Luso,2,20,"{""coordinates"":[-9.116342,38.765588],""type"":""Point""}",2022-07-27T16:33:48.091Z,active
508 - Estação de Comboios de Benfica,0,23,"{""coordinates"":[-9.200039,38.74473],""type"":""Point""}",2022-07-27T16:33:49.178Z,repair
417 - Av. Duque de Ávila / Jardim Arco Do Cego,18,23,"{""coordinates"":[-9.142703,38.735352],""type"":""Point""}",2022-07-27T16:33:42.690Z,active
556 - Alamedas das Linhas de Torres / Estrada da T,5,11,"{""coordinates"":[-9.161462,38.773489],""type"":""Point""}",2022-07-27T16:33:46.432Z,active
114 - Via do Oriente,3,10,"{""coordinates"":[-9.09974,38.78836],""type"":""Point""}",2022-07-27T16:33:41.553Z,active
477 - Alameda da Universidade / Faculdade de Direito,3,24,"{""coordinates"":[-9.15671,38.75264],""type"":""Point""}",2022-07-27T16:33:45.378Z,active
552 - Alameda das Linhas de Torres / Hospital Puli,4,12,"{""coordinates"":[-9.157335,38.766075],""type"":""Point""}",2022-07-27T16:33:48.573Z,active
366 - Palacio da justiça,20,30,"{""coordinates"":[-9.156435,38.731134],""type"":""Point""}",2022-07-27T16:33:47.779Z,active
205 - Av. Brasília / Cordoaria,4,10,"{""coordinates"":[-9.188,38.697],""type"":""Point""}",2022-07-27T16:33:47.004Z,active
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,4,20,"{""coordinates"":[-9.14329,38.74081],""type"":""Point""}",2022-07-27T16:33:37.887Z,repair
485 - Rua Tomás da Fonseca / Rua António Albino Machado,8,10,"{""coordinates"":[-9.17,38.756],""type"":""Point""}",2022-07-27T16:33:34.890Z,active
450 - Rua Alfredo Cortês,5,10,"{""coordinates"":[-9.14399,38.74626],""type"":""Point""}",2022-07-27T16:53:52.259Z,active
216 - Praça D. Luís I,8,21,"{""coordinates"":[-9.14655,38.70663],""type"":""Point""}",2022-07-27T16:53:55.401Z,active
106 - Jardim Garcia da Orta,6,14,"{""coordinates"":[-9.092506,38.769459],""type"":""Point""}",2022-07-27T16:53:50.831Z,active
468 - Largo Frei Heitor Pinto,1,21,"{""coordinates"":[-9.13827,38.75482],""type"":""Point""}",2022-07-27T16:53:49.669Z,active
310 - Rua Pina Manique / Largo do Intendente ,6,17,"{""coordinates"":[-9.134847,38.720733],""type"":""Point""}",2022-07-27T16:53:50.403Z,active
476 - Av. Professor Gama Pinto / Reitoria,4,23,"{""coordinates"":[-9.15885,38.75231],""type"":""Point""}",2022-07-27T16:53:56.424Z,active
301 - Avenida da Liberdade / Restauradores,12,22,"{""coordinates"":[-9.14242,38.71702],""type"":""Point""}",2022-07-27T16:53:54.914Z,active
316 - Rua António Pedro / Rua Pascoal de Melo,5,14,"{""coordinates"":[-9.135356,38.731424],""type"":""Point""}",2022-07-27T16:53:49.870Z,active
224 - Martim Moniz,11,22,"{""coordinates"":[-9.13651,38.71498],""type"":""Point""}",2022-07-27T16:53:51.225Z,active
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,7,10,"{""coordinates"":[-9.152295,38.737911],""type"":""Point""}",2022-07-27T17:13:39.282Z,active
315 - Rua Passos Manuel/ Jardim Constantino,4,20,"{""coordinates"":[-9.136968,38.731264],""type"":""Point""}",2022-07-27T16:53:55.869Z,active
221-Rua do Crucifixo / Rua São Nicolau,6,15,"{""coordinates"":[-9.138828,38.710191],""type"":""Point""}",2022-07-27T16:53:55.020Z,active
215 - Av. 24 de Julho,13,17,"{""coordinates"":[-9.14949,38.70662],""type"":""Point""}",2022-07-27T16:53:54.657Z,active
110 - Rua de Moscavide,3,18,"{""coordinates"":[-9.097068,38.778466],""type"":""Point""}",2022-07-27T17:13:38.498Z,active
457 - Rua Aboim Ascensão,0,10,"{""coordinates"":[-9.14722,38.74975],""type"":""Point""}",2022-07-27T17:13:36.846Z,active
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,1,16,"{""coordinates"":[-9.17849,38.76026],""type"":""Point""}",2022-07-27T17:13:45.888Z,active
203 - Padrão dos Descobrimentos,12,22,"{""coordinates"":[-9.20633,38.6935],""type"":""Point""}",2022-07-27T17:13:47.041Z,active
361 - Amoreiras Shopping Center,10,31,"{""coordinates"":[-9.160992,38.72392],""type"":""Point""}",2022-07-27T17:13:49.685Z,active
364 -Rua D.francisco M. de melo / Rua artilharia 1,1,14,"{""coordinates"":[-9.159369,38.728263],""type"":""Point""}",2022-07-27T17:13:49.733Z,active
304 - Avenida da Liberdade / São Jorge,4,16,"{""coordinates"":[-9.14637,38.72026],""type"":""Point""}",2022-07-27T17:13:41.751Z,active
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,5,20,"{""coordinates"":[-9.141741,38.751481],""type"":""Point""}",2022-07-27T17:13:40.512Z,active
551 - Rua Francisco Stromp / Alameda das Linhas de,3,20,"{""coordinates"":[-9.157235,38.762584],""type"":""Point""}",2022-07-27T17:13:40.613Z,active
352 - Rua Tomás da Anunciação / Rua Almeida e S.,10,17,"{""coordinates"":[-9.165653,38.717313],""type"":""Point""}",2022-07-27T17:13:36.276Z,active
313 - Rua Frei Francisco Foreiro / Rua de Arroios,6,14,"{""coordinates"":[-9.135956,38.728049],""type"":""Point""}",2022-07-27T17:33:48.595Z,active
431 - Rua do Arco Cego / Av. Magalhães Lima,1,14,"{""coordinates"":[-9.14199,38.73937],""type"":""Point""}",2022-07-27T17:33:38.582Z,active
471 - Rua Lopes de Mendonça / EB São João de Brito,0,10,"{""coordinates"":[-9.137337,38.756487],""type"":""Point""}",2022-07-27T17:33:42.122Z,active
419 - Av. António José de Almeida / Instituto Superior Técnico,2,25,"{""coordinates"":[-9.13956,38.73811],""type"":""Point""}",2022-07-27T17:33:46.971Z,active
363 - Rua de campolide / Rua marques da fronteira,5,14,"{""coordinates"":[-9.162216,38.727094],""type"":""Point""}",2022-07-27T17:33:47.134Z,active
208 - Cais das Pombas,2,22,"{""coordinates"":[-9.14373,38.70523],""type"":""Point""}",2022-07-27T17:33:39.146Z,active
406 - Praça Duque de Saldanha,0,17,"{""coordinates"":[-9.145341,38.734247],""type"":""Point""}",2022-07-27T17:33:41.615Z,active
309 - Rua da Palma,6,10,"{""coordinates"":[-9.13577,38.71901],""type"":""Point""}",2022-07-27T17:33:44.502Z,active
475 - Av. Professor Gama Pinto / Cantina Velha,16,41,"{""coordinates"":[-9.15907,38.75115],""type"":""Point""}",2022-07-27T17:33:48.652Z,active
108 - Rua do Bojador,2,14,"{""coordinates"":[-9.09235,38.774289],""type"":""Point""}",2022-07-27T17:33:37.819Z,active
308 - Marquês de Pombal,2,11,"{""coordinates"":[-9.14969,38.7246],""type"":""Point""}",2022-07-27T17:53:58.877Z,active
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,1,12,"{""coordinates"":[-9.15535,38.767114],""type"":""Point""}",2022-07-27T17:54:00.065Z,active
420 - Av. Rovisco Pais / Av. Manuel da Maia,13,26,"{""coordinates"":[-9.13672,38.73617],""type"":""Point""}",2022-07-27T17:53:58.449Z,active
307 - Marquês de Pombal,3,33,"{""coordinates"":[-9.149334,38.724954],""type"":""Point""}",2022-07-27T17:53:59.711Z,active
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,3,19,"{""coordinates"":[-9.151,38.735],""type"":""Point""}",2022-07-27T17:53:51.896Z,active
104 - Gare do Oriente,33,40,"{""coordinates"":[-9.097322,38.766716],""type"":""Point""}",2022-07-27T17:53:57.780Z,active
105 - CC Vasco da Gama,36,40,"{""coordinates"":[-9.096222,38.768548],""type"":""Point""}",2022-07-27T17:53:53.108Z,active
102 - Porta do Mar,3,14,"{""coordinates"":[-9.096439,38.759156],""type"":""Point""}",2022-07-27T17:53:57.388Z,active
130 - Avenida Berlim / Rua Américo Jesus Fernandes,2,20,"{""coordinates"":[-9.106858,38.767761],""type"":""Point""}",2022-07-27T17:53:57.221Z,active
408 - Praça Duque de Saldanha,2,10,"{""coordinates"":[-9.144117,38.733749],""type"":""Point""}",2022-07-27T18:13:39.085Z,active
433 - Av. Paris / Av. Almirante Reis,10,14,"{""coordinates"":[-9.13409,38.74095],""type"":""Point""}",2022-07-27T17:53:54.936Z,active
480 - Faculdade de Ciências,8,25,"{""coordinates"":[-9.15503,38.75587],""type"":""Point""}",2022-07-27T17:54:01.399Z,active
520 - Lispolis,0,23,"{""coordinates"":[-9.182513,38.766995],""type"":""Point""}",2022-07-27T18:13:41.586Z,repair
427 - Av. República / Av. Visconde Valmor,3,12,"{""coordinates"":[-9.14617,38.73812],""type"":""Point""}",2022-07-27T18:13:42.215Z,active
226 - Rua dos Fanqueiros,11,13,"{""coordinates"":[-9.136456,38.711888],""type"":""Point""}",2022-07-27T18:13:42.664Z,active
232 - Avenida da Índia / Centro de Arqueologia de Lisboa,0,22,"{""coordinates"":[-9.212149,38.694155],""type"":""Point""}",2022-07-27T18:13:42.632Z,repair
